name,location,cuisines,rate,approx_cost(for two people)
Biriyani Mane,Jayanagar,"Biryani, Chinese, North Indian",3.7/5,700
Crumb Together,JP Nagar,"Continental, Finger Food, North Indian, Chinese",4.1/5,"1,200"
Hotel Reddy Bhavan,HSR,"Biryani, North Indian, Chinese, Andhra",3.4/5,300
Indus Family Restaurant,BTM,"North Indian, Biryani",3.8/5,600
Buff Buffet Buff,Koramangala 5th Block,"North Indian, Chinese, Continental, Thai, Salad",4.5/5,"1,500"
Tasty Noodle,HSR,"Chinese, Seafood",3.4/5,400
Brooks and Bonds Brewery,Koramangala 5th Block,"Continental, Mediterranean, North Indian, Chinese, Finger Food",4.4/5,"1,600"
Narmadha's Hyderabad Biriyani,BTM,"Biryani, North Indian, Andhra",3.9/5,550
Chinese House,Jayanagar,"Chinese, Thai, Momos",2.8/5,300
New Shanthi Sagar,BTM,"South Indian, North Indian, Chinese, Street Food",,300
The Marash,Koramangala 5th Block,"Turkish, Desserts",4.3/5,250
Gods Own Cafe,Koramangala 7th Block,"South Indian, Kerala, Seafood",4.4/5,300
Tim Tai,Koramangala 5th Block,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese",4.4/5,"1,400"
Tiwari's Ghee Paratha And Chaats,BTM,"North Indian, Street Food",,200
Woodee Pizza,JP Nagar,"Cafe, Pizza, Fast Food, Beverages",2.7/5,500
Cable Car,Jayanagar,"North Indian, Italian",4.3/5,"1,000"
Krazzy Folds,Jayanagar,"Cafe, Continental, Sandwich, Beverages",4.2/5,800
Garage Food Company,HSR,"Chinese, Momos",3.8/5,300
Eat N Drink,BTM,Fast Food,3.8/5,250
Fudge,Jayanagar,"Desserts, Momos",3.2/5,200
Malabar Treat,Koramangala 1st Block,"North Indian, Arabian, South Indian, Chinese",3.4/5,500
Malabar Xpress,Koramangala 5th Block,"South Indian, Kerala",,300
Tangra Indo - Chinese Cuisine,Jayanagar,"Chinese, Thai",3.6/5,400
Fill N Chill Resto Bar & Pub,Koramangala 4th Block,"Finger Food, North Indian, Chinese",3.9/5,"1,200"
Ugadi,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",2.9/5,700
Spice Up,JP Nagar,Chinese,3.8/5,600
The Arabian Nights,BTM,"Arabian, North Indian, Chinese",2.6/5,300
Shift,HSR,"Finger Food, Continental, North Indian",4.2/5,"1,500"
Midnight Mania,BTM,"Pizza, Italian, Beverages",4.1/5,700
Namma Kudla,JP Nagar,"Mangalorean, North Indian, Chinese, Seafood",3.9/5,400
Prawn Crunch,BTM,"Fast Food, Seafood",3.2/5,400
Food Springs,Jayanagar,"South Indian, Chinese",4.0/5,400
Stop N Joy,BTM,"Street Food, Beverages",NEW,150
Mini Adiga's,BTM,"South Indian, North Indian, Chinese, Street Food, Juices",2.8/5,250
Vinaya Cafe,Jayanagar,"South Indian, Street Food, Juices",3.4/5,200
Kababji Cafe,HSR,"Arabian, Middle Eastern, Rolls, Biryani, Charcoal Chicken",,300
Snakk That,HSR,"Burger, Beverages, Fast Food",3.9/5,250
Swathi Maharaja,Koramangala 4th Block,"Andhra, North Indian, Chinese, Biryani",3.7/5,750
Sai Mango Tree,BTM,"Biryani, Hyderabadi, Chinese",3.6/5,500
Via Milano,Koramangala 4th Block,"Salad, Italian, Desserts, Pizza",4.2/5,"1,500"
Ambur Dum Biryani,BTM,Biryani,,200
Dr. Shawarma,HSR,"North Indian, Rolls, Street Food",,200
Mimansa @ Foxtrot,Koramangala 3rd Block,Cafe,4.4/5,"1,000"
Biriyaniz,HSR,"Biryani, North Indian, Chinese, Andhra",3.4/5,400
Oldtown Dilli,Koramangala 4th Block,"Mughlai, North Indian, Turkish, Afghan",4.1/5,750
Hotel Smile,Jayanagar,"North Indian, Chinese",3.1/5,550
Taj Darbar,Koramangala 5th Block,"Biryani, Mughlai, Chinese",3.8/5,600
Fava Bistro,Koramangala 5th Block,"Mediterranean, Pizza, Italian, Beverages",4.4/5,"1,500"
Midnight Restro,BTM,"North Indian, Fast Food",3.4/5,500
Mirch Masala,JP Nagar,North Indian,3.4/5,500
City Durbar,Jayanagar,"North Indian, Chinese, Biryani",3.7/5,450
Kings Kitchen,Koramangala 1st Block,"Biryani, North Indian",3.3/5,500
Heaven 2 Oven,BTM,Chinese,NEW,300
New Andhra Spice,BTM,Andhra,3.6/5,600
Tangerine - Davanam Sarovar Portico Suites,Koramangala 2nd Block,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",4.0/5,"1,100"
Eshanya,Jayanagar,"North Indian, Chinese",4.1/5,"1,000"
Amaravati,BTM,"North Indian, Chinese",3.6/5,400
More Than Chocolates,BTM,Bakery,3.6/5,200
Cafe Orio,BTM,"Cafe, Fast Food",4.0/5,400
Tandoor Hut,Koramangala 5th Block,"North Indian, Mughlai, Chinese, Rolls",4.1/5,700
New Royal Treat,Bannerghatta Road,"North Indian, Chinese",2.8/5,350
Om Sai Baba Mess,HSR,South Indian,3.1/5,250
Hotel Annapoorna,Bannerghatta Road,"South Indian, Chinese, North Indian, Seafood",3.2/5,400
RBP Greens Garden,BTM,"North Indian, Chinese",2.7/5,700
Crunchy Nights,BTM,"North Indian, Chinese, Continental",3.6/5,350
Punjab Bistro,Koramangala 7th Block,North Indian,4.4/5,"1,500"
Elmas Restaurant,Koramangala 7th Block,"North Indian, Kerala, Chinese, Biryani, Seafood, South Indian",3.4/5,650
The Jade Kitchen,JP Nagar,"Chinese, Thai",4.0/5,400
The Sandwich Club,HSR,Fast Food,3.9/5,250
Bawarchi Inn,BTM,"North Indian, Biryani, Andhra, Chinese",3.1/5,600
Bella,Jayanagar,"Mangalorean, Seafood, South Indian",3.9/5,"1,000"
Crawl Street,Koramangala 5th Block,"Continental, Finger Food, North Indian, Chinese",4.3/5,"1,200"
Vintage Shack,HSR,"North Indian, Continental",3.9/5,900
Supreme Biryani,Koramangala,Biryani,,400
Zingron,Koramangala 7th Block,"Chinese, Naga",4.0/5,750
Shawarma Inc,Bannerghatta Road,"Rolls, Lebanese",3.2/5,250
Magnolia,Koramangala 3rd Block,"Chinese, Thai, Asian",4.1/5,900
The Kitchen,Koramangala 1st Block,North Indian,3.6/5,300
Rajvardhan Foods,Jayanagar,"Street Food, Maharashtrian",3.9/5,300
Chicken Man,JP Nagar,"Roast Chicken, Burger",3.8/5,400
Green Go,Bannerghatta Road,"Beverages, Juices",NEW,200
You N Cane,Jayanagar,"Beverages, Juices",,250
Bharat Kitchen,Koramangala 1st Block,"Bengali, Chinese, Continental, Mughlai, North Indian, Oriya",3.7/5,300
Tandoori,Koramangala 5th Block,"North Indian, Rolls",,300
Kargeens,Koramangala 6th Block,"Cafe, Continental, Italian",4.1/5,600
Tomago Roast,BTM,"Fast Food, Beverages",3.5/5,400
Dilish Kitchens,BTM,"North Indian, Chinese",3.7/5,500
Champaran Spice,BTM,North Indian,3.4/5,400
French Bakery,BTM,"Desserts, Bakery, Beverages",3.3/5,250
Aramane Restaurant,Bannerghatta Road,"North Indian, South Indian, Seafood, Biryani, Chinese",2.9/5,800
Drunkling - Sizzlers and Pub,Koramangala 5th Block,"Chinese, Continental, North Indian, Burger, Pizza, Seafood",4.4/5,"1,000"
Bengali Fun Foods,BTM,"Bengali, North Indian",3.9/5,600
Goodness! Beverages,Koramangala,Beverages,3.4/5,250
Bombay Talkies,Jayanagar,"Maharashtrian, Fast Food, Street Food, Sandwich",3.7/5,200
Bhojon Tripti,Bannerghatta Road,"Bengali, North Indian",2.9/5,300
Khan Saab Hotel,Bommanahalli,"North Indian, Biryani, Chinese",3.1/5,300
Euki,Jayanagar,"Italian, Mexican",4.1/5,900
A.M New Punjab Food Corner,Koramangala 1st Block,"North Indian, Chinese",3.5/5,350
Bisimillah Biriyani's & Kebab's,BTM,"Biryani, Fast Food",3.3/5,300
SS Hot Dhum Briyani Point,BTM,"North Indian, Chinese, South Indian",,200
Samosa King,BTM,Street Food,3.4/5,200
The Cheesecake Corner,BTM,Desserts,3.7/5,400
Food Court,JP Nagar,"North Indian, Chinese",,300
Vyanjan,BTM,"North Indian, Street Food",3.9/5,300
Mid Night Hunting,Ejipura,"Fast Food, Italian",3.7/5,300
Carrots,Koramangala 6th Block,"Italian, North Indian, Healthy Food, Desserts",4.1/5,"1,100"
Eatsomnia,JP Nagar,"North Indian, South Indian, Chinese, Continental",NEW,500
Swad 'E' Punjab,HSR,"North Indian, Chinese, Mughlai",3.6/5,500
Rolls & Co,Koramangala 6th Block,"Burger, Beverages, Rolls",3.9/5,400
Fogg,BTM,"Fast Food, Chinese",NEW,200
Sunny Cafe & Kitchen,HSR,"Cafe, Continental, Beverages, Desserts",3.8/5,700
The Paratha Stories,Koramangala 1st Block,North Indian,3.3/5,400
Mycakeshop,BTM,"Bakery, Desserts",,300
Vyanjan,BTM,"North Indian, Street Food",3.9/5,300
Mid Night Hunting,Ejipura,"Fast Food, Italian",3.7/5,300
Carrots,Koramangala 6th Block,"Italian, North Indian, Healthy Food, Desserts",4.1/5,"1,100"
Eatsomnia,JP Nagar,"North Indian, South Indian, Chinese, Continental",NEW,500
Rolls & Co,Koramangala 6th Block,"Burger, Beverages, Rolls",3.9/5,400
Fogg,BTM,"Fast Food, Chinese",NEW,200
The Paratha Stories,Koramangala 1st Block,North Indian,3.3/5,400
Mycakeshop,BTM,"Bakery, Desserts",,300
Roll N Rock,JP Nagar,"Chinese, North Indian, Mughlai, Rolls",3.7/5,400
A Today Thick Shakes,Koramangala 5th Block,Beverages,3.2/5,200
Armaani Caffe,BTM,Fast Food,3.5/5,250
Hungry Buddies,BTM,North Indian,3.3/5,150
Dhabeliwala,JP Nagar,"Street Food, Beverages, Gujarati",3.8/5,250
Wok And Rolls,Koramangala 1st Block,"Chinese, Thai",,300
Hang10 Resto N Cafe,BTM,"Cafe, North Indian, Chinese",3.8/5,700
Bubblewrap Waffle Co.,Jayanagar,"Desserts, Beverages",4.4/5,400
Swad Restaurant,BTM,"Chinese, North Indian",3.7/5,550
Northern Bites,Bannerghatta Road,"North Indian, Chinese",3.2/5,400
Asgardian Moreover Chai,BTM,"Fast Food, Rolls, Juices",NEW,300
Sober Turtle,Koramangala 4th Block,"Street Food, Sandwich, Beverages",3.4/5,250
Dilli ??,South Bangalore,North Indian,,500
Classic Biryani Hut,HSR,"Biryani, Fast Food",3.4/5,300
B.M.W - Bhookh Mitaane Wala,Koramangala 1st Block,"North Indian, South Indian, Chinese",3.7/5,500
Khan's Biryani,BTM,"Biryani, North Indian",3.0/5,300
Khaja Military Hotel,HSR,"Biryani, Fast Food, South Indian",,400
Abhiruchi Moonlight,Bommanahalli,North Indian,3.3/5,300
Dhaba Express,HSR,"Biryani, Fast Food, North Indian, Chinese",3.7/5,400
TOKI Taco House,Koramangala 6th Block,Mexican,3.6/5,200
Hotel Vedha,BTM,"South Indian, North Indian",,200
Multi Kitchen,BTM,"North Indian, Chinese",,300
Bangali Babu Restaurant,BTM,"Mithai, Desserts, Fast Food",,250
JP Fish Land,BTM,Seafood,3.6/5,300
Eatery Have U Been,BTM,"Cafe, Chinese, Fast Food, Burger, North Indian",3.4/5,500
Comboeats,HSR,"Chinese, Continental, Seafood, North Indian",,550
Salkara Arabian Delight & Bakes,Koramangala 1st Block,"Arabian, Biryani, Beverages, Rolls",,300
Sip N Bite,Bommanahalli,"Fast Food, North Indian, South Indian, Chinese",3.3/5,300
Tiffin Box,BTM,North Indian,NEW,200
Candy Cake,BTM,Bakery,3.4/5,500
Whooppeezz,BTM,"Italian, Pizza",4.0/5,500
Hungry Lee,BTM,"Chinese, Thai, Asian",4.1/5,500
South Side Grill,HSR,"Mughlai, North Indian, Andhra",3.5/5,600
Cinnamon,HSR,"North Indian, Chinese, Biryani",3.9/5,550
Kolakata Biryani Cafe,BTM,"Chinese, North Indian, Biryani, Rolls",,400
Ammayi Thakkaram,BTM,"Kerala, South Indian",,400
Udupi Thadka,BTM,"South Indian, Chinese, North Indian",,250
Sri Venkateswara Andra Mess,BTM,South Indian,,120
Yaduvanshi Hotel,BTM,"Bihari, Chinese",,300
Holige Mane,BTM,South Indian,,150
The Lassi Bar,BTM,"Beverages, Juices",3.7/5,300
Singh Punjabi Dhaba,BTM,"North Indian, Chinese",3.8/5,400
Pabrai's Fresh and Naturelle Icecreams,BTM,"Ice Cream, Desserts",3.7/5,300
Al-Madina,BTM,"North Indian, Chinese",3.3/5,500
Banjara Melting Pot,Koramangala 4th Block,"North Indian, Chinese, Seafood",4.2/5,"1,700"
Homely Curries & Pickles,BTM,"Biryani, Andhra",3.4/5,300
Kopper Kadai,Koramangala 5th Block,"North Indian, Chinese",4.1/5,"1,200"
Late Night,BTM,"North Indian, Chinese",3.6/5,500
Punjabi Daawat,BTM,North Indian,2.4/5,550
Borah's Kitchen,BTM,"North Indian, Chinese",3.3/5,250
Momo Jojo,BTM,"Chinese, Tibetan, Momos",3.4/5,300
Mountain Spice,Koramangala 8th Block,"Chinese, Nepalese, Tibetan, Momos",3.9/5,400
Kevins Kitchen,Koramangala 6th Block,"North Indian, Chinese, Biryani",3.7/5,400
Yeti,BTM,"Fast Food, Desserts, Ice Cream",3.7/5,300
The Biryani Story,BTM,"Biryani, North Indian, Chinese, Mughlai",4.4/5,600
Tasty Magic,BTM,"Chinese, North Indian",2.7/5,600
Freeze It,BTM,Ice Cream,3.6/5,300
Spoorthi Ice Cream,BTM,"Desserts, Ice Cream",,150
Maruti Garden,BTM,"North Indian, Kerala",,450
Sofiya Cakes,BTM,"Bakery, Desserts",,300
Oveanly,BTM,Bakery,,200
Coffee Time,BTM,"Sandwich, Juices, Burger",,150
Sree Food Paradise,BTM,"North Indian, Biryani",,150
Ayush Reddy Tiffins & Fast Food Center,BTM,"South Indian, Fast Food, Chinese",,300
RK Fast Food,BTM,"South Indian, Chinese",,300
Dhe Chef Cafe,BTM,"North Indian, Rolls",,200
Hungry Mates,BTM,North Indian,,300
Paradise Food Court,BTM,"North Indian, Chinese",,400
Blends Juice Cafe,BTM,"Beverages, Desserts",,200
Foodiction,BTM,"North Indian, Fast Food, Burger",,500
Shawarma Corner,BTM,Arabian,,100
Royal Dine Family Restaurant,BTM,"Kerala, North Indian, Chinese, Hyderabadi, Arabian",,400
Chai Makhan,BTM,"North Indian, Chinese, South Indian",,300
Namms Cafe,BTM,"North Indian, Chinese",,300
Zed Cafe,BTM,"Kerala, South Indian, Desserts",,350
RGS Ambur briyani,BTM,"Biryani, Kebab",,300
Delicious Mom's Kitchen,BTM,"Bengali, North Indian",NEW,200
Bisimillah Biriyani,BTM,"Biryani, Fast Food",3.5/5,300
Chung Wah Opus,JP Nagar,"Chinese, Thai",3.0/5,650
Mumbai Kulfi,JP Nagar,"Desserts, Ice Cream",,200
Marahaba,Koramangala 6th Block,"Arabian, Mediterranean",3.0/5,400
Invitation Bar & Restaurant,BTM,North Indian,3.0/5,"1,000"
Chettinad Food House,BTM,"South Indian, Chettinad, North Indian",3.1/5,300
RP Sweets,BTM,Mithai,3.4/5,300
Kaaka T Cafe,BTM,Fast Food,3.5/5,400
Melt,BTM,"Continental, Steak, Fast Food",4.0/5,"1,000"
Hearts Unlock Cafe,BTM,"Cafe, Healthy Food",3.2/5,500
Blue Berry Restaurant,BTM,"North Indian, Kerala, Chinese",2.9/5,600
Food Junction,BTM,"North Indian, Chinese, Street Food, Biryani",3.5/5,400
Chefie,Koramangala 1st Block,"Continental, Fast Food, Italian, North Indian",3.8/5,200
New Grand Restaurant,BTM,"North Indian, South Indian, Biryani",3.1/5,500
Bun Town,Koramangala 5th Block,"Cafe, Bakery",3.8/5,500
Durbar Greens Family Restaurant,Hosur Road,"North Indian, Chinese, South Indian",3.6/5,700
Shree Guru Juice 'N' Ice,Bannerghatta Road,"Fast Food, Chinese, Beverages",3.3/5,250
Hyderabadi Biryani Flames,BTM,"Biryani, Andhra",,300
Frolic,Koramangala 7th Block,"Juices, Ice Cream",3.9/5,200
The Paratha Stories,JP Nagar,North Indian,NEW,250
Kanchanjunga Kitchen - The Flavour of Hills,Koramangala 8th Block,"Chinese, Nepalese, Tibetan, Momos",,300
Hotel Orchid,BTM,"North Indian, South Indian, Chinese, Kerala",,500
Neer Dosa Fish Land,BTM,"Seafood, Mangalorean",3.6/5,600
Namana Garden,BTM,"North Indian, South Indian, Chinese, Street Food",2.6/5,400
Shaahi Mezbaan Restaurant,BTM,North Indian,3.1/5,350
Day N Night Kitchen,BTM,"Biryani, Chinese, North Indian",3.2/5,450
Dash In,BTM,"North Indian, Chinese, Kerala",3.1/5,600
Bruncherz,BTM,"North Indian, Chinese",3.5/5,200
De Street Cafe,BTM,Cafe,3.6/5,500
Cafe Hush,BTM,"Cafe, Fast Food",3.6/5,500
Snaxup Restaurant,BTM,"North Indian, Fast Food, Beverages",3.5/5,300
Hunger Buds,BTM,North Indian,3.5/5,250
Tandoor-De-Naal,BTM,Fast Food,3.8/5,200
Tummy Delight,BTM,North Indian,3.5/5,400
The Chef Restaurant,BTM,"North Indian, Chinese, South Indian",,600
Amaravati Grand,BTM,"Chinese, Andhra, Mangalorean",3.4/5,550
New Farm Fresh,BTM,"Italian, Pizza",3.6/5,650
Pothichor,BTM,Kerala,3.5/5,250
Hyderabadi Biryani Corner,BTM,"Hyderabadi, North Indian, Chinese",3.4/5,350
Amrutha Mess,BTM,Kerala,3.4/5,300
The French Loaf,BTM,"Bakery, Desserts, Sandwich",3.1/5,400
Joon Restaurant,BTM,"Arabian, Chinese, North Indian, Kerala, Juices",3.7/5,400
Caramel Shake,BTM,"Beverages, Juices, Ice Cream",NEW,200
Bhaijaan Barbeques,Koramangala 7th Block,"Mughlai, Arabian, BBQ",3.4/5,200
Entropy Cafe,Koramangala 6th Block,"Cafe, Chinese, Pizza, North Indian, Burger",4.1/5,600
China Tang,BTM,Chinese,3.7/5,600
Momo Hut,Koramangala 5th Block,"Chinese, Tibetan, Momos",4.0/5,250
Tandoor Garden,BTM,"North Indian, Chinese, Kebab",3.6/5,350
7 Plates,Koramangala 5th Block,"Mughlai, Fast Food",3.7/5,750
Hyderabad Biriyani House,BTM,Biryani,,400
Night Restro,BTM,"North Indian, Chinese",3.1/5,500
Bewiched,HSR,"Fast Food, Sandwich, Burger",3.4/5,300
Daawat Restaurant Bar & Pub,Koramangala 7th Block,"Finger Food, North Indian, Seafood, Mangalorean, Chinese",3.5/5,700
BelgYum,Koramangala 7th Block,Desserts,4.0/5,400
Churchill's,JP Nagar,"North Indian, Continental",4.1/5,"1,100"
Dine in Restaurant,BTM,"South Indian, North Indian, Chinese",3.4/5,500
Sri Sharana Basaveshwara Khanavali,BTM,South Indian,,200
Kombo King,BTM,"North Indian, South Indian",,300
Top Foam Parantha Roll & Juice Centre,BTM,"North Indian, Chinese, Fast Food, Rolls",3.5/5,300
Ambur Azad Darbar,BTM,"North Indian, Fast Food, Biryani",3.2/5,250
Aha Juice Bar,BTM,"Beverages, Fast Food",3.6/5,200
Amravathi Restaurants & Caterers,BTM,"North Indian, Chinese",3.1/5,400
Cafe Club Kerala Restaurant,BTM,Kerala,,300
Shawarma Bae,BTM,"Beverages, Fast Food",3.3/5,200
Choco Monk,BTM,Desserts,,200
Brew Cafe,BTM,Fast Food,3.2/5,300
Watheen Nuts,BTM,Desserts,,400
Traffic,BTM,"Beverages, Burger, Fast Food",,100
Chutneys Tiffin Center,BTM,"South Indian, Andhra, Chinese",,300
Five Star New Ambur Biryani,BTM,"Biryani, North Indian, Kebab, Chinese",,300
Fluffer Nutter,BTM,Beverages,NEW,200
Bhoja99,BTM,North Indian,NEW,200
UKIYO,BTM,"Beverages, Sandwich, Chinese",,300
Santhrupthi Halli Mane,BTM,"North Indian, Chinese, South Indian",,500
Coal Grill & Cafe,BTM,Arabian,3.3/5,300
Murali Military hotel,BTM,"Biryani, South Indian",NEW,300
Hyderabadi Biryani House,BTM,Biryani,NEW,300
Chai Makhan,BTM,"Arabian, South Indian",NEW,400
Cafe Sulaimani,BTM,"Kerala, South Indian, Biryani",NEW,300
Chocolate Bomb,BTM,Bakery,,300
Tit Bits,BTM,"North Indian, Fast Food",,400
Desi Urbane,BTM,"North Indian, Chinese, Biryani",3.6/5,450
Rayalaseema Abhiruchulu,BTM,"North Indian, South Indian, Chinese",NEW,250
GR Foods,BTM,"Andhra, Biryani",NEW,350
New Udupi Dharshini,BTM,"South Indian, Chinese",NEW,150
Ice N Spice,BTM,"Ice Cream, Beverages, Fast Food",NEW,300
Svadu Sweets,BTM,"Street Food, Mithai",3.3/5,150
La Mirch,BTM,"North Indian, Kashmiri",,400
The Fresh Wok,BTM,Asian,3.3/5,600
Bisimillah Biriyani's & Kebab's,BTM,"Biryani, Fast Food",3.3/5,300
TRIGEREATO,Koramangala 8th Block,"Cafe, Continental, Beverages",4.4/5,700
Black Cup Cafe,BTM,"Cafe, Fast Food, Beverages",3.6/5,400
The Charcoal Factory,Koramangala 6th Block,"Burger, Pizza, Momos",4.1/5,600
Cakeport,Bannerghatta Road,Bakery,,400
Restro Cafe,Jayanagar,Cafe,3.8/5,400
Kafe Nook,BTM,Fast Food,3.6/5,300
Dice N Dine,Koramangala 5th Block,"Continental, Cafe, Italian, Fast Food, Steak",4.3/5,900
Casa Piccosa,JP Nagar,"South American, Continental, Italian",4.1/5,"1,100"
Night Cafe,BTM,"North Indian, Chinese, Fast Food",3.0/5,350
The Enav Bowl,Koramangala 5th Block,"Healthy Food, Beverages, Mexican, Burger, Italian",3.8/5,
Spice Taj,BTM,"North Indian, Chinese",,300
Savandh's Kitchen - Donne Biryani,BTM,"Biryani, South Indian",,350
Kivona's Kitchen,BTM,North Indian,,300
late100,BTM,"North Indian, Kebab",,200
Y Not Shawarma,BTM,Arabian,,300
The Nourished Kitchen,BTM,"Asian, Continental, Healthy Food",,400
Foodies Club,BTM,"South Indian, Chinese, North Indian, Sandwich, Rolls",3.4/5,300
Homifoo,BTM,North Indian,,300
Deepam Tiffins,BTM,"South Indian, North Indian, Chinese",,300
Joey's,BTM,"Chinese, Fast Food",3.7/5,300
Owl's Kitchen,BTM,"North Indian, Chinese",3.1/5,500
Uncle's Kitchen,BTM,"North Indian, Chinese, Fast Food",3.3/5,450
Desi Wok,BTM,"North Indian, Chinese",2.7/5,500
Combo Box,BTM,"North Indian, Biryani, Chinese",3.0/5,500
What the Food,BTM,"North Indian, Chinese, Fast Food",3.6/5,250
Around The Corner,BTM,"North Indian, Chinese, Fast Food",3.6/5,350
sCoolMeal,BTM,"North Indian, South Indian, Chinese, Pizza",,300
Tandoor Hub & Golmaal Paratha,BTM,North Indian,3.2/5,450
So-Fat's Dosas,BTM,South Indian,3.8/5,200
Singh Da Dhaba,BTM,North Indian,3.3/5,400
Two States,BTM,"North Indian, South Indian, Chinese, Street Food",3.4/5,250
SoopeRolls,BTM,"Fast Food, Rolls",3.5/5,250
E2 - EntrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©e Envoy,BTM,"Chinese, North Indian, Biryani",3.5/5,550
BongHomie,BTM,"Bengali, North Indian",3.4/5,300
Adithya Family Restaurant,BTM,South Indian,3.7/5,250
Ambur Biriyani Point,BTM,Biryani,3.6/5,150
Gobi Gate,BTM,Chinese,3.2/5,200
Parivaar,BTM,"Biryani, North Indian, Chinese",3.3/5,600
Alechemy,BTM,North Indian,,"1,500"
Malnad Military Hotel,BTM,"South Indian, Chinese",,350
SM Fast Food,BTM,"South Indian, North Indian",,300
Royal Hyderabadi Nights,BTM,Hyderabadi,,400
D Italy,BTM,Italian,,500
Hungry Nights,BTM,"Chinese, North Indian",3.0/5,300
Shater Grill House,BTM,"North Indian, Arabian, Chinese",3.5/5,700
Pizza D Italy,BTM,Italian,3.5/5,500
Amara Food Point,BTM,South Indian,3.3/5,250
Night Bell,South Bangalore,"Fast Food, North Indian",3.1/5,450
New Kabab Plaza,BTM,"Biryani, North Indian",NEW,300
Ruchi's Foodies Blast,BTM,"Chinese, North Indian",NEW,250
Eaternet,BTM,"North Indian, Chinese, Street Food",3.6/5,300
NY8LIFE,BTM,"North Indian, Rolls, Biryani",3.2/5,300
Shangai Sun,BTM,"Asian, Chinese",3.4/5,500
My Dabeli & My Pizza,BTM,"Pizza, Burger",3.4/5,400
Papacream,JP Nagar,"Desserts, Ice Cream",3.7/5,350
Asia In A Box,Koramangala 1st Block,"Thai, Asian",3.2/5,550
Mandi,JP Nagar,North Indian,3.8/5,800
Nite Out,JP Nagar,"North Indian, Chinese, Biryani",3.9/5,500
Imperial Restaurant,Koramangala 6th Block,"Seafood, Biryani, South Indian, Chettinad, Chinese, Arabian, Andhra, Kerala",3.6/5,800
Mongolian Kitchen,BTM,"Chinese, Mongolian",3.8/5,500
Chef All Nite,BTM,"Chinese, North Indian",3.9/5,300
Food Ka Masti,Bannerghatta Road,"North Indian, Chinese, South Indian",3.2/5,400
Brews N Bites,Jayanagar,"Chinese, Fast Food, Cafe",2.9/5,650
Desi Aahar,BTM,"North Indian, Chinese, Seafood",NEW,400
Lassi Top,Koramangala 4th Block,"Beverages, Ice Cream",3.2/5,200
Shake Tat Bottle,BTM,Beverages,3.3/5,200
The Hidden Cafe,Koramangala 1st Block,"North Indian, Fast Food",3.9/5,350
Momo Junction,BTM,"Fast Food, Momos",3.8/5,100
The Shawarma Inc,Koramangala 5th Block,"Arabian, Fast Food",3.3/5,200
Cashmere Nites,Koramangala 6th Block,Kashmiri,3.5/5,600
The Vacationer's Cafe,Koramangala 7th Block,"Cafe, Continental, Mexican",4.1/5,600
Cafe Fattoush,BTM,"Cafe, Lebanese",3.8/5,700
Night Hawks,HSR,"Biryani, Fast Food, North Indian, Chinese",,400
Some Mo',Koramangala 6th Block,"Momos, Fast Food",,200
Appam & Curry,Koramangala 1st Block,"Kerala, South Indian",3.8/5,200
